RA_J2000,Decl_J2000,radius,region name,aperture sum (gswlc),aperture sum (w3w1),aperture sum (w4w1)
01:36:41.7,15:46:59,7.7,ngc0628,16149.605000253277,16149.605000253277,16149.605000253277
02:46:19.0,-30:16:28.0,18.55,ngc1097,456459.254526853,456459.254526853,456459.254526853
10:43:57.8,11:42:12.8,13.49,ngc3351,163406.64571440464,163406.64571440464,163406.64571440464
10:43:57.7,11:42:06.7,2.698056,ngc3351b,23052.560611461548,23052.560611461548,23052.560611461548
10:43:57.8,11:42:19.6,2.698056,ngc3351a,24468.485483999008,24468.485483999008,24468.485483999008
11:05:49.3,-00:03:26.7,4.626648,ngc3521Enuc.2,22096.66040119525,22096.66040119525,22096.66040119525
11:05:48.9,-00:02:06,9.25,ngc3521,44725.676177402784,44725.676177402784,44725.676177402784
11:18:16.0,-32:48:42,10.37,ngc3621,33277.864044175,33277.864044175,33277.864044175
11:20:15.0,12:59:29.1,9.76,ngc3627,202234.94664106658,202234.94664106658,202234.94664106658
11:20:16.30,12:57:49.2,9.76,ngc3627Enuc.1,36000.72901642287,36000.72901642287,36000.72901642287
11:20:16.5,12:58:46.3,9.76,ngc3627Enuc.2,156572.30581875413,156572.30581875413,156572.30581875413
12:18:47.3,14:24:53.2,8.3,ngc4254b,15611.475174639607,15611.475174639607,15611.475174639607
12:18:45.8,14:24:09.8,5.53,ngc4254Enuc.2c,3694.0369996308286,3694.0369996308286,3694.0369996308286
12:18:49.0,14:24:39.7,8.3,ngc4254Enuc.2a,20283.283829426637,20283.283829426637,20283.283829426637
12:18:50.1,14:24:06.6,5.53,ngc4254Enuc.1d,3414.7977210250165,3414.7977210250165,3414.7977210250165
12:18:50.4,14:24:22.5,8.3,ngc4254Enuc.1c,17635.47021493051,17635.47021493051,17635.47021493051
12:18:46.2,14:24:11.9,5.53,ngc4254Enuc.1b,3559.873457481028,3559.873457481028,3559.873457481028
12:18:50.2,14:24:17.7,8.3,ngc4254Enuc.1a,16547.028482733724,16547.028482733724,16547.028482733724
12:18:49.6,14:25:00,8.3,ngc4254,41328.85783463447,41328.85783463447,41328.85783463447
12:18:50.5,14:25:11.9,8.3,ngc4254a,24149.783021222756,24149.783021222756,24149.783021222756
12:18:46.1,14:24:19.0,5.53,ngc4254Enuc.2b,6373.809648644878,6373.809648644878,6373.809648644878
12:22:54.9,15:49:21,14.17,ngc4321,276830.0430948804,276830.0430948804,276830.0430948804
12:22:49.9,15:50:28.7,5.667696,ngc4321Enuc.2,2339.9700998441253,2339.9700998441253,2339.9700998441253
12:22:55.4,15:49:22.0,2.833848,ngc4321a,17534.65171262208,17534.65171262208,17534.65171262208
12:22:55.3,15:49:15.4,2.833848,ngc4321b,19152.169172858834,19152.169172858834,19152.169172858834
12:22:54.4,15:49:19.7,2.833848,ngc4321c,14981.6785329346,14981.6785329346,14981.6785329346
12:22:54.6,15:49:13.3,2.833848,ngc4321d,20661.014848860563,20661.014848860563,20661.014848860563
12:34:27.1,02:11:17,11.47,ngc4536,418271.5554081077,418271.5554081077,418271.5554081077
12:34:26.8,02:11:21.2,5.735952,ngc4536b,177329.65263558933,177329.65263558933,177329.65263558933
12:34:27.5,02:11:14.2,5.735952,ngc4536a,136263.10741604256,136263.10741604256,136263.10741604256
12:36:49.9,13:09:46.7,8.5,ngc4569,132003.83154270763,132003.83154270763,132003.83154270763
12:37:43.6,11:49:05.4,8.73,ngc4579,33138.3468718979,33138.3468718979,33138.3468718979
12:56:43.1,21:40:54.8,2.58516,ngc4826d,18787.900645295857,18787.900645295857,18787.900645295857
12:56:44.3,21:40:56.0,2.58516,ngc4826e,27033.179054340137,27033.179054340137,27033.179054340137
12:56:43.4,21:41:00.9,2.58516,ngc4826a,66519.44549222966,66519.44549222966,66519.44549222966
12:56:43.7,21:41:04.1,2.58516,ngc4826b,25417.35512450508,25417.35512450508,25417.35512450508
12:56:43.7,21:40:58.8,2.58516,ngc4826c,93638.11322164476,93638.11322164476,93638.11322164476
12:56:43.1,21:41:06.8,2.58516,ngc4826g,16029.536287379951,16029.536287379951,16029.536287379951
12:56:43.8,21:41:11.4,2.58516,ngc4826f,9719.55578132642,9719.55578132642,9719.55578132642
12:56:43.6,21:41:00.4,5.17,ngc4826,238865.03920302988,238865.03920302988,238865.03920302988
